"_id","KetQuaXSMB_Chuan"
"29-10-2017","{""GiaiBay"":""43,85,29,27"",""GiaiSau"":""549,566,487"",""GiaiNam"":""3910,2995,9827,9096,0680,0098"",""GiaiTu"":""8922,4359,0891,6519"",""GiaiBa"":""25571,19369,18607,70059,80524,95539"",""GiaiNhi"":""32630,13347"",""GiaiNhat"":""45814"",""GiaiDacBiet"":""31270""}"
"30-10-2017","{""GiaiBay"":""70,11,12,30"",""GiaiSau"":""516,708,556"",""GiaiNam"":""5119,9874,7028,0524,3917,2920"",""GiaiTu"":""3706,0502,3736,2164"",""GiaiBa"":""28618,21391,66257,32480,12083,12263"",""GiaiNhi"":""62646,46134"",""GiaiNhat"":""16103"",""GiaiDacBiet"":""13687""}"
"31-10-2017","{""GiaiBay"":""27,42,30,12"",""GiaiSau"":""221,218,185"",""GiaiNam"":""5190,8926,0154,4813,5002,4324"",""GiaiTu"":""5185,6690,7511,0867"",""GiaiBa"":""57668,37202,64165,79665,63571,82881"",""GiaiNhi"":""80423,29235"",""GiaiNhat"":""96099"",""GiaiDacBiet"":""48743""}"
"1-11-2017","{""GiaiBay"":""18,13,51,38"",""GiaiSau"":""698,316,633"",""GiaiNam"":""0704,5395,1527,1938,5047,3862"",""GiaiTu"":""1546,1492,2364,4966"",""GiaiBa"":""74360,80758,28880,76601,11491,55755"",""GiaiNhi"":""08725,27835"",""GiaiNhat"":""69022"",""GiaiDacBiet"":""71038""}"
"2-11-2017","{""GiaiBay"":""50,53,17,05"",""GiaiSau"":""988,568,458"",""GiaiNam"":""2058,6827,9112,9987,0528,5249"",""GiaiTu"":""6597,4593,2700,5041"",""GiaiBa"":""00159,93844,04967,24127,89297,92798"",""GiaiNhi"":""36782,31342"",""GiaiNhat"":""02173"",""GiaiDacBiet"":""99761""}"
"3-11-2017","{""GiaiBay"":""31,95,55,63"",""GiaiSau"":""508,078,852"",""GiaiNam"":""9389,4006,3895,8403,2847,1545"",""GiaiTu"":""8808,1468,3350,2633"",""GiaiBa"":""02423,54642,69684,70010,91378,14311"",""GiaiNhi"":""26869,52349"",""GiaiNhat"":""13898"",""GiaiDacBiet"":""31134""}"
"4-11-2017","{""GiaiBay"":""49,84,89,50"",""GiaiSau"":""645,474,997"",""GiaiNam"":""5794,0981,7613,1813,4621,4536"",""GiaiTu"":""1011,0162,2281,0758"",""GiaiBa"":""20595,01743,26902,83098,99471,88284"",""GiaiNhi"":""12528,44395"",""GiaiNhat"":""47016"",""GiaiDacBiet"":""40627""}"
"5-11-2017","{""GiaiBay"":""88,79,52,07"",""GiaiSau"":""728,316,101"",""GiaiNam"":""5519,1725,0032,5862,0466,4923"",""GiaiTu"":""4943,6525,3455,0745"",""GiaiBa"":""93959,72144,11964,49094,89685,92153"",""GiaiNhi"":""88340,11502"",""GiaiNhat"":""40310"",""GiaiDacBiet"":""90260""}"
"6-11-2017","{""GiaiBay"":""07,85,03,41"",""GiaiSau"":""064,917,447"",""GiaiNam"":""6947,2368,8535,6122,0309,7020"",""GiaiTu"":""7747,9530,1669,9175"",""GiaiBa"":""08627,08872,06565,97981,47209,66111"",""GiaiNhi"":""67265,74091"",""GiaiNhat"":""63198"",""GiaiDacBiet"":""03355""}"
"7-11-2017","{""GiaiBay"":""18,13,51,38"",""GiaiSau"":""698,316,633"",""GiaiNam"":""0704,5395,1527,1938,5047,3862"",""GiaiTu"":""1546,1492,2364,4966"",""GiaiBa"":""74360,80758,28880,76601,11491,55755"",""GiaiNhi"":""08725,27835"",""GiaiNhat"":""69022"",""GiaiDacBiet"":""71038""}"
"8-11-2017","{""GiaiBay"":""26,37,32,48"",""GiaiSau"":""247,898,829"",""GiaiNam"":""4320,3120,1763,6475,8158,8871"",""GiaiTu"":""5580,6524,5498,4144"",""GiaiBa"":""28075,33088,45073,31886,84882,61121"",""GiaiNhi"":""05741,89292"",""GiaiNhat"":""17309"",""GiaiDacBiet"":""03183""}"
"9-11-2017","{""GiaiBay"":""21,69,79,77"",""GiaiSau"":""105,164,500"",""GiaiNam"":""3864,5552,3154,7942,9825,8375"",""GiaiTu"":""2254,8452,7904,3714"",""GiaiBa"":""91332,31663,70765,31498,88857,29694"",""GiaiNhi"":""37762,44298"",""GiaiNhat"":""25247"",""GiaiDacBiet"":""04327""}"
"10-11-2017","{""GiaiBay"":""85,74,82,00"",""GiaiSau"":""914,163,130"",""GiaiNam"":""5860,7980,2329,6511,1715,3751"",""GiaiTu"":""7216,4560,1969,0247"",""GiaiBa"":""21279,53328,31510,18793,11290,85963"",""GiaiNhi"":""27311,97860"",""GiaiNhat"":""07065"",""GiaiDacBiet"":""70523""}"
"11-11-2017","{""GiaiBay"":""66,08,18,78"",""GiaiSau"":""294,531,939"",""GiaiNam"":""9555,5274,2272,4130,0974,5084"",""GiaiTu"":""2577,1572,8259,2110"",""GiaiBa"":""16298,09366,82187,32680,20871,42380"",""GiaiNhi"":""80315,51720"",""GiaiNhat"":""35693"",""GiaiDacBiet"":""02893""}"
"12-11-2017","{""GiaiBay"":""38,46,36,14"",""GiaiSau"":""950,956,857"",""GiaiNam"":""4385,2666,4104,4599,4575,7865"",""GiaiTu"":""6823,6284,5365,6166"",""GiaiBa"":""38286,96530,20140,22520,16727,22933"",""GiaiNhi"":""92397,53786"",""GiaiNhat"":""32502"",""GiaiDacBiet"":""99365""}"
"13-11-2017","{""GiaiBay"":""22,25,47,19"",""GiaiSau"":""173,875,600"",""GiaiNam"":""6306,7766,7635,9601,8780,2954"",""GiaiTu"":""1524,7378,6972,5487"",""GiaiBa"":""90913,66761,53411,27236,38172,38933"",""GiaiNhi"":""27586,63534"",""GiaiNhat"":""18187"",""GiaiDacBiet"":""33541""}"
"14-11-2017","{""GiaiBay"":""94,15,13,78"",""GiaiSau"":""926,661,057"",""GiaiNam"":""4476,5973,1861,3946,5329,9541"",""GiaiTu"":""6310,2622,3705,3105"",""GiaiBa"":""63004,45155,05684,12032,39653,21669"",""GiaiNhi"":""36637,97048"",""GiaiNhat"":""50925"",""GiaiDacBiet"":""35397""}"
"15-11-2017","{""GiaiBay"":""10,07,21,15"",""GiaiSau"":""092,954,636"",""GiaiNam"":""2916,4359,0570,2415,9156,3575"",""GiaiTu"":""6401,8779,5579,6562"",""GiaiBa"":""80693,33090,50176,26177,63546,05476"",""GiaiNhi"":""86749,31647"",""GiaiNhat"":""48624"",""GiaiDacBiet"":""27798""}"
"16-11-2017","{""GiaiBay"":""50,31,59,95"",""GiaiSau"":""158,280,016"",""GiaiNam"":""5273,3287,6159,6971,0045,1416"",""GiaiTu"":""6749,3943,3212,6968"",""GiaiBa"":""74746,15197,68457,64626,31017,10599"",""GiaiNhi"":""48686,74981"",""GiaiNhat"":""79651"",""GiaiDacBiet"":""24750""}"
"17-11-2017","{""GiaiBay"":""92,58,03,02"",""GiaiSau"":""309,989,023"",""GiaiNam"":""9014,9137,1429,1230,4523,0723"",""GiaiTu"":""6706,7720,8116,5849"",""GiaiBa"":""13378,44053,68347,89750,70764,21026"",""GiaiNhi"":""86786,95505"",""GiaiNhat"":""40368"",""GiaiDacBiet"":""35408""}"
"18-11-2017","{""GiaiBay"":""42,62,39,41"",""GiaiSau"":""955,155,488"",""GiaiNam"":""0138,0567,3494,3461,0812,5424"",""GiaiTu"":""0133,1744,6755,9922"",""GiaiBa"":""16128,00525,32446,96672,12330,29506"",""GiaiNhi"":""40300,64756"",""GiaiNhat"":""04620"",""GiaiDacBiet"":""01622""}"
"19-11-2017","{""GiaiBay"":""20,57,43,08"",""GiaiSau"":""200,691,603"",""GiaiNam"":""8002,6515,9339,8705,3637,8069"",""GiaiTu"":""8726,8813,8632,3227"",""GiaiBa"":""97967,74141,89009,13923,31921,32414"",""GiaiNhi"":""39197,59189"",""GiaiNhat"":""36595"",""GiaiDacBiet"":""85761""}"
"20-11-2017","{""GiaiBay"":""02,72,12,19"",""GiaiSau"":""900,852,797"",""GiaiNam"":""9857,2267,7530,0153,6210,0149"",""GiaiTu"":""8421,2047,3542,5913"",""GiaiBa"":""75386,14838,05530,36885,41952,26760"",""GiaiNhi"":""70063,65221"",""GiaiNhat"":""31379"",""GiaiDacBiet"":""33137""}"
"21-11-2017","{""GiaiBay"":""91,68,98,55"",""GiaiSau"":""445,432,856"",""GiaiNam"":""7670,0469,4213,7162,5197,3470"",""GiaiTu"":""4608,0662,2098,4942"",""GiaiBa"":""42313,14451,38270,21828,88766,40348"",""GiaiNhi"":""29978,64582"",""GiaiNhat"":""14482"",""GiaiDacBiet"":""19753""}"
"22-11-2017","{""GiaiBay"":""02,55,84,67"",""GiaiSau"":""374,827,837"",""GiaiNam"":""7482,2319,7403,0854,9007,0133"",""GiaiTu"":""2364,5922,2690,3219"",""GiaiBa"":""67528,90161,62863,43519,28888,18438"",""GiaiNhi"":""76933,21730"",""GiaiNhat"":""89577"",""GiaiDacBiet"":""83824""}"
"23-11-2017","{""GiaiBay"":""87,55,26,16"",""GiaiSau"":""804,189,537"",""GiaiNam"":""9671,4930,1594,1372,6242,3519"",""GiaiTu"":""8567,6951,6852,2662"",""GiaiBa"":""09157,42593,79187,67628,12490,08833"",""GiaiNhi"":""41248,25895"",""GiaiNhat"":""76943"",""GiaiDacBiet"":""80062""}"
"24-11-2017","{""GiaiBay"":""54,41,78,43"",""GiaiSau"":""459,696,234"",""GiaiNam"":""8150,1423,2861,5776,4186,9184"",""GiaiTu"":""8003,4190,9046,7491"",""GiaiBa"":""95775,15535,91240,31284,42636,67661"",""GiaiNhi"":""51531,88791"",""GiaiNhat"":""30019"",""GiaiDacBiet"":""43268""}"
"25-11-2017","{""GiaiBay"":""46,88,01,25"",""GiaiSau"":""573,789,659"",""GiaiNam"":""5005,7552,6618,4047,3462,7940"",""GiaiTu"":""3376,7781,0086,8556"",""GiaiBa"":""85098,03389,10625,90826,19209,98335"",""GiaiNhi"":""22096,25548"",""GiaiNhat"":""39214"",""GiaiDacBiet"":""72680""}"
"26-11-2017","{""GiaiBay"":""70,44,08,42"",""GiaiSau"":""055,093,127"",""GiaiNam"":""8229,6354,1552,7086,2625,3157"",""GiaiTu"":""4595,2341,7320,6764"",""GiaiBa"":""28840,92028,25020,52251,78619,88280"",""GiaiNhi"":""26675,79143"",""GiaiNhat"":""51279"",""GiaiDacBiet"":""55409""}"
"27-11-2017","{""GiaiBay"":""80,28,17,30"",""GiaiSau"":""722,995,801"",""GiaiNam"":""4817,6456,9457,5959,7763,6095"",""GiaiTu"":""1920,6655,6256,5419"",""GiaiBa"":""32413,48143,94178,25356,78252,70256"",""GiaiNhi"":""05791,72973"",""GiaiNhat"":""49082"",""GiaiDacBiet"":""19011""}"
"28-11-2017","{""GiaiBay"":""40,74,94,99"",""GiaiSau"":""080,107,652"",""GiaiNam"":""6199,3797,4475,7227,7584,3483"",""GiaiTu"":""2346,6004,8791,0474"",""GiaiBa"":""73986,89535,66109,51712,13868,19576"",""GiaiNhi"":""79959,18340"",""GiaiNhat"":""26982"",""GiaiDacBiet"":""36205""}"