"_id","KetQuaXSBenTre_Chuan","KetQuaXSAnGiang_Chuan","KetQuaXSBacLieu_Chuan","KetQuaXSBinhDuong_Chuan","KetQuaXSBinhPhuoc_Chuan","KetQuaXSBinhThuan_Chuan","KetQuaXSCaMau_Chuan","KetQuaXSCanTho_Chuan","KetQuaXSDaLat_Chuan","KetQuaXSDongNai_Chuan","KetQuaXSDongThap_Chuan","KetQuaXSHauGiang_Chuan","KetQuaXSHoChiMinh_Chuan","KetQuaXSKienGiang_Chuan","KetQuaXSLongAn_Chuan","KetQuaXSSocTrang_Chuan","KetQuaXSTayNinh_Chuan","KetQuaXSTienGiang_Chuan","KetQuaXSTraVinh_Chuan","KetQuaXSVinhLong_Chuan","KetQuaXSVungTau_Chuan"
"29-10-2017",,,,,,,,,"{""GiaiDacBiet"":""990259"",""GiaiNhat"":""98839"",""GiaiNhi"":""50533"",""GiaiBa"":""42666,47754"",""GiaiTu"":""78686,52716,90157,46752,04608,40923,02779"",""GiaiNam"":""3687"",""GiaiSau"":""7635,3384,6949"",""GiaiBay"":""749"",""GiaiTam"":""08""}",,,,,"{""GiaiDacBiet"":""637570"",""GiaiNhat"":""52063"",""GiaiNhi"":""90346"",""GiaiBa"":""21719,49075"",""GiaiTu"":""57248,16200,90765,01096,12039,28776,71475"",""GiaiNam"":""0930"",""GiaiSau"":""8056,1871,8876"",""GiaiBay"":""483"",""GiaiTam"":""15""}",,,,"{""GiaiDacBiet"":""856381"",""GiaiNhat"":""17306"",""GiaiNhi"":""11806"",""GiaiBa"":""46495,45191"",""GiaiTu"":""65045,03069,86884,45218,36755,87734,51635"",""GiaiNam"":""1746"",""GiaiSau"":""1347,9689,6116"",""GiaiBay"":""589"",""GiaiTam"":""16""}",,,
"30-10-2017",,,,,,,"{""GiaiDacBiet"":""698153"",""GiaiNhat"":""49209"",""GiaiNhi"":""83123"",""GiaiBa"":""43788,69426"",""GiaiTu"":""43813,11374,04390,38481,92335,30822,22362"",""GiaiNam"":""8772"",""GiaiSau"":""9406,9152,3270"",""GiaiBay"":""718"",""GiaiTam"":""97""}",,,,"{""GiaiDacBiet"":""747960"",""GiaiNhat"":""58106"",""GiaiNhi"":""18522"",""GiaiBa"":""97508,55973"",""GiaiTu"":""04177,09196,36159,69988,46487,91909,23657"",""GiaiNam"":""5106"",""GiaiSau"":""9605,5841,0282"",""GiaiBay"":""915"",""GiaiTam"":""48""}",,"{""GiaiDacBiet"":""064305"",""GiaiNhat"":""94720"",""GiaiNhi"":""43361"",""GiaiBa"":""39371,00428"",""GiaiTu"":""13916,24543,49425,62104,76074,68688,33811"",""GiaiNam"":""9906"",""GiaiSau"":""2974,3776,0559"",""GiaiBay"":""034"",""GiaiTam"":""21""}",,,,,,,,
"31-10-2017","{""GiaiDacBiet"":""963852"",""GiaiNhat"":""98346"",""GiaiNhi"":""28005"",""GiaiBa"":""74873,43296"",""GiaiTu"":""95905,25250,02731,39669,72403,43938,69648"",""GiaiNam"":""8883"",""GiaiSau"":""0814,3739,5136"",""GiaiBay"":""822"",""GiaiTam"":""85""}",,"{""GiaiDacBiet"":""980678"",""GiaiNhat"":""18265"",""GiaiNhi"":""86713"",""GiaiBa"":""21502,76203"",""GiaiTu"":""85115,31710,13093,20830,87116,75231,60903"",""GiaiNam"":""1607"",""GiaiSau"":""9842,4417,1898"",""GiaiBay"":""139"",""GiaiTam"":""66""}",,,,,,,,,,,,,,,,,,"{""GiaiDacBiet"":""137749"",""GiaiNhat"":""62552"",""GiaiNhi"":""04134"",""GiaiBa"":""84605,95181"",""GiaiTu"":""06414,45360,37791,19715,03792,29951,76437"",""GiaiNam"":""6346"",""GiaiSau"":""8009,4642,9208"",""GiaiBay"":""897"",""GiaiTam"":""19""}"
"1-11-2017",,,,,,,,"{""GiaiDacBiet"":""412319"",""GiaiNhat"":""74091"",""GiaiNhi"":""91044"",""GiaiBa"":""58717,37739"",""GiaiTu"":""78232,58393,82605,53193,83174,43951,19204"",""GiaiNam"":""3938"",""GiaiSau"":""3175,9093,4905"",""GiaiBay"":""895"",""GiaiTam"":""44""}",,"{""GiaiDacBiet"":""844899"",""GiaiNhat"":""00549"",""GiaiNhi"":""55627"",""GiaiBa"":""05033,89055"",""GiaiTu"":""04901,01774,38113,49045,26796,16861,65669"",""GiaiNam"":""4710"",""GiaiSau"":""0180,4096,5746"",""GiaiBay"":""972"",""GiaiTam"":""30""}",,,,,,"{""GiaiDacBiet"":""035235"",""GiaiNhat"":""74948"",""GiaiNhi"":""63609"",""GiaiBa"":""81672,78492"",""GiaiTu"":""33116,88012,99000,38163,52930,57089,50086"",""GiaiNam"":""0997"",""GiaiSau"":""3017,2571,2228"",""GiaiBay"":""452"",""GiaiTam"":""63""}",,,,,
"2-11-2017",,"{""GiaiDacBiet"":""278636"",""GiaiNhat"":""82260"",""GiaiNhi"":""36288"",""GiaiBa"":""55321,92588"",""GiaiTu"":""64798,86839,90569,12457,72066,84356,45674"",""GiaiNam"":""4514"",""GiaiSau"":""9520,8036,9179"",""GiaiBay"":""097"",""GiaiTam"":""78""}",,,,"{""GiaiDacBiet"":""408498"",""GiaiNhat"":""53633"",""GiaiNhi"":""28454"",""GiaiBa"":""04104,79092"",""GiaiTu"":""28169,96340,12101,91889,24749,43991,30350"",""GiaiNam"":""6430"",""GiaiSau"":""4515,0029,4015"",""GiaiBay"":""778"",""GiaiTam"":""59""}",,,,,,,,,,,"{""GiaiDacBiet"":""975427"",""GiaiNhat"":""24628"",""GiaiNhi"":""94606"",""GiaiBa"":""13816,33969"",""GiaiTu"":""72902,26904,07058,64725,34720,97555,89089"",""GiaiNam"":""0977"",""GiaiSau"":""4726,5252,5375"",""GiaiBay"":""884"",""GiaiTam"":""38""}",,,,
"3-11-2017",,,,,,,,,,,,,,,,,,,"{""GiaiDacBiet"":""340401"",""GiaiNhat"":""40548"",""GiaiNhi"":""75276"",""GiaiBa"":""09862,12721"",""GiaiTu"":""74077,83464,28859,21560,08161,50982,72405"",""GiaiNam"":""7678"",""GiaiSau"":""1427,6679,1601"",""GiaiBay"":""924"",""GiaiTam"":""56""}","{""GiaiDacBiet"":""506266"",""GiaiNhat"":""44721"",""GiaiNhi"":""02717"",""GiaiBa"":""36333,50872"",""GiaiTu"":""58998,96967,17732,55675,65683,35311,70083"",""GiaiNam"":""8435"",""GiaiSau"":""1039,7312,3158"",""GiaiBay"":""132"",""GiaiTam"":""64""}",
"4-11-2017",,,,,"{""GiaiDacBiet"":""242878"",""GiaiNhat"":""87126"",""GiaiNhi"":""34137"",""GiaiBa"":""95560,52082"",""GiaiTu"":""37145,63115,15136,33395,87811,27110,95297"",""GiaiNam"":""2954"",""GiaiSau"":""3581,9740,5074"",""GiaiBay"":""289"",""GiaiTam"":""70""}",,,,,,,"{""GiaiDacBiet"":""102962"",""GiaiNhat"":""08379"",""GiaiNhi"":""71368"",""GiaiBa"":""17892,44500"",""GiaiTu"":""22211,08165,27004,11764,23198,81153,63585"",""GiaiNam"":""8703"",""GiaiSau"":""5912,4090,5943"",""GiaiBay"":""658"",""GiaiTam"":""86""}","{""GiaiDacBiet"":""716606"",""GiaiNhat"":""23782"",""GiaiNhi"":""27098"",""GiaiBa"":""10853,76083"",""GiaiTu"":""45430,90191,66152,40335,95915,85736,25397"",""GiaiNam"":""3022"",""GiaiSau"":""2476,7554,5153"",""GiaiBay"":""507"",""GiaiTam"":""33""}",,"{""GiaiDacBiet"":""581420"",""GiaiNhat"":""57389"",""GiaiNhi"":""63193"",""GiaiBa"":""33427,40348"",""GiaiTu"":""51533,40160,57209,41681,00538,32473,47427"",""GiaiNam"":""6020"",""GiaiSau"":""8793,8739,2325"",""GiaiBay"":""470"",""GiaiTam"":""92""}",,,,,,
"5-11-2017",,,,,,,,,"{""GiaiDacBiet"":""586659"",""GiaiNhat"":""14431"",""GiaiNhi"":""51457"",""GiaiBa"":""63963,55652"",""GiaiTu"":""25516,61966,53780,37955,67249,96547,64678"",""GiaiNam"":""5857"",""GiaiSau"":""4455,1410,0068"",""GiaiBay"":""109"",""GiaiTam"":""09""}",,,"{""GiaiDacBiet"":""102962"",""GiaiNhat"":""08379"",""GiaiNhi"":""71368"",""GiaiBa"":""17892,44500"",""GiaiTu"":""22211,08165,27004,11764,23198,81153,63585"",""GiaiNam"":""8703"",""GiaiSau"":""5912,4090,5943"",""GiaiBay"":""658"",""GiaiTam"":""86""}",,"{""GiaiDacBiet"":""757780"",""GiaiNhat"":""51972"",""GiaiNhi"":""29842"",""GiaiBa"":""53866,76870"",""GiaiTu"":""13412,48538,37809,47635,42184,26116,26175"",""GiaiNam"":""0966"",""GiaiSau"":""8598,0251,8536"",""GiaiBay"":""228"",""GiaiTam"":""92""}",,,,"{""GiaiDacBiet"":""630031"",""GiaiNhat"":""11379"",""GiaiNhi"":""07026"",""GiaiBa"":""79108,62216"",""GiaiTu"":""35945,10561,75444,45899,63042,79062,07861"",""GiaiNam"":""6007"",""GiaiSau"":""2766,9551,2095"",""GiaiBay"":""234"",""GiaiTam"":""54""}",,,
"6-11-2017",,,,,,,"{""GiaiDacBiet"":""876958"",""GiaiNhat"":""94684"",""GiaiNhi"":""83577"",""GiaiBa"":""76033,58481"",""GiaiTu"":""35527,95607,10585,67842,15956,25700,26192"",""GiaiNam"":""2778"",""GiaiSau"":""5969,8884,9640"",""GiaiBay"":""923"",""GiaiTam"":""77""}",,,,"{""GiaiDacBiet"":""906057"",""GiaiNhat"":""99962"",""GiaiNhi"":""19426"",""GiaiBa"":""71586,00547"",""GiaiTu"":""29854,70422,09793,83436,97599,17298,19235"",""GiaiNam"":""5003"",""GiaiSau"":""8101,2726,4533"",""GiaiBay"":""576"",""GiaiTam"":""80""}",,"{""GiaiDacBiet"":""544323"",""GiaiNhat"":""66558"",""GiaiNhi"":""66966"",""GiaiBa"":""78072,20964"",""GiaiTu"":""65418,70678,12063,98992,98531,16740,02456"",""GiaiNam"":""7633"",""GiaiSau"":""9020,0869,7711"",""GiaiBay"":""454"",""GiaiTam"":""40""}",,,,,,,,
"7-11-2017","{""GiaiDacBiet"":""349296"",""GiaiNhat"":""55238"",""GiaiNhi"":""08668"",""GiaiBa"":""31528,57947"",""GiaiTu"":""49508,30921,01201,51496,97895,39178,61780"",""GiaiNam"":""7397"",""GiaiSau"":""3308,9984,0348"",""GiaiBay"":""970"",""GiaiTam"":""39""}",,"{""GiaiDacBiet"":""592133"",""GiaiNhat"":""14188"",""GiaiNhi"":""00558"",""GiaiBa"":""69405,32138"",""GiaiTu"":""01570,55438,00056,40345,28121,80787,06654"",""GiaiNam"":""7407"",""GiaiSau"":""4658,9868,5053"",""GiaiBay"":""979"",""GiaiTam"":""14""}",,,,,,,,,,,,,,,,,,"{""GiaiDacBiet"":""855660"",""GiaiNhat"":""76876"",""GiaiNhi"":""50843"",""GiaiBa"":""32848,65223"",""GiaiTu"":""29030,75552,06453,36411,66984,31487,09530"",""GiaiNam"":""3918"",""GiaiSau"":""6998,0778,5535"",""GiaiBay"":""922"",""GiaiTam"":""37""}"
"8-11-2017",,,,,,,,"{""GiaiDacBiet"":""371512"",""GiaiNhat"":""46160"",""GiaiNhi"":""68389"",""GiaiBa"":""40936,79336"",""GiaiTu"":""02470,95259,28142,59110,24272,36561,20798"",""GiaiNam"":""9448"",""GiaiSau"":""2691,9590,2552"",""GiaiBay"":""492"",""GiaiTam"":""10""}",,"{""GiaiDacBiet"":""176017"",""GiaiNhat"":""40534"",""GiaiNhi"":""48352"",""GiaiBa"":""29122,85670"",""GiaiTu"":""01767,22557,06477,01513,11742,22130,45080"",""GiaiNam"":""6574"",""GiaiSau"":""0156,5513,5548"",""GiaiBay"":""606"",""GiaiTam"":""85""}",,,,,,"{""GiaiDacBiet"":""788416"",""GiaiNhat"":""93081"",""GiaiNhi"":""34056"",""GiaiBa"":""28646,18121"",""GiaiTu"":""09171,54835,34928,37603,74770,90109,44356"",""GiaiNam"":""8783"",""GiaiSau"":""4756,5032,5759"",""GiaiBay"":""672"",""GiaiTam"":""06""}",,,,,
"9-11-2017",,"{""GiaiDacBiet"":""549799"",""GiaiNhat"":""09852"",""GiaiNhi"":""57574"",""GiaiBa"":""25549,75120"",""GiaiTu"":""04831,91440,39835,92324,38313,40026,65028"",""GiaiNam"":""9477"",""GiaiSau"":""2478,0015,5087"",""GiaiBay"":""687"",""GiaiTam"":""76""}",,,,"{""GiaiDacBiet"":"""",""GiaiNhat"":"""",""GiaiNhi"":"""",""GiaiBa"":"","",""GiaiTu"":"",,,,,,"",""GiaiNam"":"""",""GiaiSau"":""8499,9523,6627"",""GiaiBay"":""567"",""GiaiTam"":""53""}",,,,,,,"{""GiaiDacBiet"":""544323"",""GiaiNhat"":""66558"",""GiaiNhi"":""66966"",""GiaiBa"":""78072,20964"",""GiaiTu"":""65418,70678,12063,98992,98531,16740,02456"",""GiaiNam"":""7633"",""GiaiSau"":""9020,0869,7711"",""GiaiBay"":""454"",""GiaiTam"":""40""}",,,,"{""GiaiDacBiet"":""086155"",""GiaiNhat"":""48018"",""GiaiNhi"":""20619"",""GiaiBa"":""83178,72700"",""GiaiTu"":""89428,69507,77197,32149,77109,13270,40638"",""GiaiNam"":""2806"",""GiaiSau"":""2224,8948,5504"",""GiaiBay"":""468"",""GiaiTam"":""66""}",,,,
"10-11-2017",,,,,,,,,,,,,"{""GiaiDacBiet"":""544323"",""GiaiNhat"":""66558"",""GiaiNhi"":""66966"",""GiaiBa"":""78072,20964"",""GiaiTu"":""65418,70678,12063,98992,98531,16740,02456"",""GiaiNam"":""7633"",""GiaiSau"":""9020,0869,7711"",""GiaiBay"":""454"",""GiaiTam"":""40""}",,,,,,"{""GiaiDacBiet"":""119024"",""GiaiNhat"":""68440"",""GiaiNhi"":""69424"",""GiaiBa"":""09989,75481"",""GiaiTu"":""93641,30886,09814,55299,08782,24716,53377"",""GiaiNam"":""2644"",""GiaiSau"":""2921,4989,1672"",""GiaiBay"":""214"",""GiaiTam"":""73""}","{""GiaiDacBiet"":""365676"",""GiaiNhat"":""10684"",""GiaiNhi"":""10252"",""GiaiBa"":""54996,55346"",""GiaiTu"":""82994,01758,08551,27242,90097,42941,08529"",""GiaiNam"":""7573"",""GiaiSau"":""4143,7604,1946"",""GiaiBay"":""870"",""GiaiTam"":""33""}",
"11-11-2017",,,,,"{""GiaiDacBiet"":""083956"",""GiaiNhat"":""54972"",""GiaiNhi"":""75468"",""GiaiBa"":""64300,84586"",""GiaiTu"":""22084,88246,84639,96472,46794,62858,18151"",""GiaiNam"":""3855"",""GiaiSau"":""1157,3704,8130"",""GiaiBay"":""877"",""GiaiTam"":""01""}",,,,,,,"{""GiaiDacBiet"":""712585"",""GiaiNhat"":""00617"",""GiaiNhi"":""77321"",""GiaiBa"":""72215,22249"",""GiaiTu"":""83527,28123,40497,38411,22590,85200,27330"",""GiaiNam"":""1200"",""GiaiSau"":""9484,3476,6405"",""GiaiBay"":""785"",""GiaiTam"":""70""}","{""GiaiDacBiet"":""987028"",""GiaiNhat"":""31159"",""GiaiNhi"":""05333"",""GiaiBa"":""50052,29939"",""GiaiTu"":""96693,72200,39288,70213,62403,25823,99155"",""GiaiNam"":""1532"",""GiaiSau"":""6156,3018,4161"",""GiaiBay"":""950"",""GiaiTam"":""23""}",,"{""GiaiDacBiet"":""030563"",""GiaiNhat"":""36691"",""GiaiNhi"":""49705"",""GiaiBa"":""64753,80503"",""GiaiTu"":""05570,79433,97766,14411,70045,58551,96550"",""GiaiNam"":""1260"",""GiaiSau"":""7551,4478,8067"",""GiaiBay"":""344"",""GiaiTam"":""58""}",,,,,,
"12-11-2017",,,,,,,,,"{""GiaiDacBiet"":null,""GiaiNhat"":"""",""GiaiNhi"":"""",""GiaiBa"":"","",""GiaiTu"":"",74027,83570,14891,89566,64804,"",""GiaiNam"":""3033"",""GiaiSau"":""8971,0509,2224"",""GiaiBay"":""553"",""GiaiTam"":""76""}",,,,,"{""GiaiDacBiet"":""327001"",""GiaiNhat"":""76738"",""GiaiNhi"":""15509"",""GiaiBa"":""73400,64467"",""GiaiTu"":""08840,93046,02519,65988,13821,61286,37645"",""GiaiNam"":""2552"",""GiaiSau"":""1028,4829,8281"",""GiaiBay"":""141"",""GiaiTam"":""16""}",,,,"{""GiaiDacBiet"":""367131"",""GiaiNhat"":""17582"",""GiaiNhi"":""16996"",""GiaiBa"":""33883,29868"",""GiaiTu"":""85186,87466,94454,08138,21291,78643,90767"",""GiaiNam"":""3936"",""GiaiSau"":""9962,2788,8105"",""GiaiBay"":""244"",""GiaiTam"":""08""}",,,
"13-11-2017",,,,,,,"{""GiaiDacBiet"":""533864"",""GiaiNhat"":""76776"",""GiaiNhi"":""50289"",""GiaiBa"":""22244,38769"",""GiaiTu"":""51495,31092,89089,58242,71716,30715,99600"",""GiaiNam"":""1041"",""GiaiSau"":""5640,6750,8252"",""GiaiBay"":""937"",""GiaiTam"":""56""}",,,,"{""GiaiDacBiet"":""213999"",""GiaiNhat"":""61083"",""GiaiNhi"":""05705"",""GiaiBa"":""80341,59220"",""GiaiTu"":""87802,47228,28036,62138,75298,42134,99972"",""GiaiNam"":""6336"",""GiaiSau"":""2050,3866,7057"",""GiaiBay"":""406"",""GiaiTam"":""66""}",,"{""GiaiDacBiet"":""573879"",""GiaiNhat"":""37358"",""GiaiNhi"":""22112"",""GiaiBa"":""96971,67001"",""GiaiTu"":""30717,57187,93581,97500,56017,55226,42403"",""GiaiNam"":""9503"",""GiaiSau"":""8939,4325,9704"",""GiaiBay"":""137"",""GiaiTam"":""05""}",,,,,,,,
